Tornado # in Year;Year;Month;Day;Time (CST);County;Damage Scale;Maximum Path Width (Yards);Path Length (Miles);Fatalities;Injuries;Location;
6;1997;1;28;0008;Tuscaloosa;F2;73;2.0;0;1;5.0 N Coker-5.5 NNE Coker;
5;1997;1;24;1700;Tuscaloosa;F2;200;10.0;1;10;5.0 S Tuscaloosa-8.0 ENE Tuscaloosa;
4;1997;1;24;1450;Lawrence;F1;73;3.0;0;0;S Moulton;
3;1997;1;24;0737;Elmore;F1;50;1.5;0;0;1.0 N Elmore-1.5 NNE Elmore;
2;1997;1;5;0655;Henry;F2;100;6.0;0;0;N Newville;
1;1997;1;5;0030;Jackson;F0;50;2.7;0;0;SE Stevenson;
50;1998;9;29;0145;Geneva;F1;50;3.0;0;0;4 NNE Geneva - 7 NNE Geneva;
49;1998;9;29;0145;Coffee;F1;50;1.0;0;0;New Brockton;
48;1998;9;29;0140;Coffee;F1;80;1.0;0;0;Enterprise;
47;1998;9;29;0130;Geneva;F1;60;1.0;0;3;Samson;
46;1998;9;28;1935;Dale;F0;40;0.3;0;0;Echo;
45;1998;9;28;1900;Henry;F0;40;0.5;0;0;Newville;
44;1998;9;28;1626;Russell-Lee;F0;30;2.0;0;0;12.0 W Phenix City-3.8 SE JC Meadows Crossroads;
43;1998;9;28;1619;Elmore;F0;50;3.0;0;0;2.2 NE Wetumpka-3.5 N Wetumpka;
42;1998;9;28;1444;Bullock;F0;40;4.0;0;0;5.9 S Union Springs-3.3 S Union Springs;
41;1998;9;28;1430;Dale;F0;30;0.3;0;0;Ozark;
40;1998;9;28;1353;Bullock;F0;70;7.0;0;0;11.1 SSW Union Springs-10 SW Union Springs;
39;1998;9;28;1347;Lowndes;F0;50;6.0;0;0;Letohatchee-0.9 S Hayneville;
38;1998;9;28;1318;Pike;F0;50;6.0;0;0;14.0 ESE Troy-12.3 E Troy;
37;1998;9;28;1310;Crenshaw;F1;50;0.5;0;0;Petrey;
36;1998;9;28;1310;Crenshaw;F1;50;0.5;0;0;Luverne;
35;1998;9;28;1306;Pike;F0;50;5.0;0;0;17.0 SE Troy-12.0 SE Troy;
34;1998;9;28;1305;Crenshaw;F1;50;0.5;0;0;Patsburg;
33;1998;9;28;1257;Crenshaw-Pike;F1;30;2.6;0;0;16.0 SW Troy-15.9 SW Troy;
32;1998;9;28;0745;Covington;F0;50;0.5;0;0;5 NE Andalusia;
31;1998;9;28;0705;Covington;F0;50;0.2;0;0;4 SW Opp;
